bh_bar,break_even_win_rate,control_mean,control_trades,edge,entry_distance,exit_stop,exit_target,exit_time,few_trades,max_hold_minutes,no_new_entry_after,no_reward,p,params_hash,reward,rule_mean,survives_fdr,t,trades,underpowered,volume_ratio_min,win_rate
nan,1.0,-2.2658161756268233e-05,8269,-5.997694733248391e-07,-0.001,19,2324,5946,False,5,15:40,True,0.9688602583929713,6f1fe46ee87d21d6,0.0,-2.3257931229593177e-05,False,-0.03903779139050841,8289,True,1.0,0.5402340451200386
nan,1.0,-3.6612330977744934e-05,6503,-1.0790354611875132e-05,-0.001,104,2996,3359,False,15,15:40,True,0.6672950676225029,6fed83e625bda2cf,0.0,-4.740268558961996e-05,False,-0.4298633217040895,6573,True,1.0,0.5881636999847862
nan,1.0,-5.30540807118308e-05,5043,-2.016475397873896e-05,-0.001,194,3170,1543,False,30,15:40,True,0.5488311160708192,c5812a354da54de5,0.0,-7.321883469056938e-05,False,-0.5995125913900793,5067,True,1.0,0.6429840142095915
nan,1.0,-8.662300117724136e-05,4217,-9.970603951824439e-07,-0.001,313,3222,538,False,60,15:40,True,0.9807748448829037,f47e119aef36c05b,0.0,-8.762006157242341e-05,False,-0.024097490688738534,4251,True,1.0,0.6812514702422959
nan,1.0,-8.144372166497338e-05,3911,-7.749300956766598e-06,-0.001,378,3252,114,False,120,15:40,True,0.8616481222521686,f12b81342d02d922,0.0,-8.919302262173977e-05,False,-0.17427655681361603,3931,True,1.0,0.7049096921902823
nan,1.0,-6.513616180525791e-05,3858,-2.6301648637027598e-05,-0.001,393,3256,7,False,240,15:40,True,0.5603594350427507,fe8c23b3e4ecbd6d,0.0,-9.143781044228536e-05,False,-0.5823077071734861,3850,True,1.0,0.7072727272727273
0.084375,0.8333333333333334,2.0421188384085268e-06,5939,-1.23080119875931e-06,-0.002,17,447,5132,False,5,15:40,False,0.9513969963817839,a3f159beb4b6a1f0,0.001,8.113176396492461e-07,False,-0.06095255248630281,5596,False,1.0,0.51590421729807
0.08333333333333334,0.8333333333333334,-3.7471677911874274e-05,4650,-2.512978003447493e-06,-0.002,104,930,3051,False,15,15:40,False,0.9421178486950442,1918cc76ca0314f3,0.001,-3.998465591532174e-05,False,-0.07260826609209273,4188,False,1.0,0.5281757402101241
0.07916666666666666,0.8333333333333334,-7.669526627234151e-05,3438,-4.317423054514874e-06,-0.002,177,1121,1471,False,30,15:40,False,0.932121182637678,3fb2f19d6e1c8d88,0.001,-8.101268932685616e-05,False,-0.08517636203664146,2922,False,1.0,0.5704996577686516
0.05833333333333334,0.8333333333333334,-7.703876159234467e-05,2695,-2.5745506455790058e-05,-0.002,284,1230,521,False,60,15:40,False,0.7066233461516309,63588dc02dd9c984,0.001,-0.0001027842680481348,False,-0.37639488759198225,2201,False,1.0,0.6283507496592458
